id, region_id, county_id,code,community_type,name,name_ext
1, 02, 01, 01, 1, Bolesławiec, gmina miejska 
2, 02, 01, 02, 2, Bolesławiec, gmina wiejska 
3, 02, 01, 03, 2, Gromadka, gmina wiejska 
4, 02, 01, 04, 3, Nowogrodziec, gmina miejsko-wiejska 
5, 02, 01, 05, 2, Osiecznica, gmina wiejska 
6, 02, 01, 06, 2, Warta Bolesławiecka, gmina wiejska 
7, 02, 02, 01, 1, Bielawa, gmina miejska 
8, 02, 02, 02, 1, Dzierżoniów, gmina miejska 
9, 02, 02, 03, 1, Pieszyce, gmina miejska 
10, 02, 02, 04, 1, Piława Górna, gmina miejska 
11, 02, 02, 05, 2, Dzierżoniów, gmina wiejska 
12, 02, 02, 06, 2, Łagiewniki, gmina wiejska 
13, 02, 02, 07, 3, Niemcza, gmina miejsko-wiejska 
14, 02, 03, 01, 1, Głogów, gmina miejska 
15, 02, 03, 02, 2, Głogów, gmina wiejska 
16, 02, 03, 03, 2, Jerzmanowa, gmina wiejska 
17, 02, 03, 04, 2, Kotla, gmina wiejska 
18, 02, 03, 05, 2, Pęcław, gmina wiejska 
19, 02, 03, 06, 2, Żukowice, gmina wiejska 
20, 02, 04, 01, 3, Góra, gmina miejsko-wiejska 
21, 02, 04, 02, 2, Jemielno, gmina wiejska 
22, 02, 04, 03, 2, Niechlów, gmina wiejska 
23, 02, 04, 04, 3, Wąsosz, gmina miejsko-wiejska 
24, 02, 05, 01, 1, Jawor, gmina miejska 
25, 02, 05, 02, 3, Bolków, gmina miejsko-wiejska 
26, 02, 05, 03, 2, Męcinka, gmina wiejska 
27, 02, 05, 04, 2, Mściwojów, gmina wiejska 
28, 02, 05, 05, 2, Paszowice, gmina wiejska 
29, 02, 05, 06, 2, Wądroże Wielkie, gmina wiejska 
30, 02, 06, 01, 1, Karpacz, gmina miejska 
31, 02, 06, 02, 1, Kowary, gmina miejska 
32, 02, 06, 03, 1, Piechowice, gmina miejska 
33, 02, 06, 04, 1, Szklarska Poręba, gmina miejska 
34, 02, 06, 05, 2, Janowice Wielkie, gmina wiejska 
35, 02, 06, 06, 2, Jeżów Sudecki, gmina wiejska 
36, 02, 06, 07, 2, Mysłakowice, gmina wiejska 
37, 02, 06, 08, 2, Podgórzyn, gmina wiejska 
38, 02, 06, 09, 2, Stara Kamienica, gmina wiejska 
39, 02, 07, 01, 1, Kamienna Góra, gmina miejska 
40, 02, 07, 02, 2, Kamienna Góra, gmina wiejska 
41, 02, 07, 03, 3, Lubawka, gmina miejsko-wiejska 
42, 02, 07, 04, 2, Marciszów, gmina wiejska 
43, 02, 08, 01, 1, Duszniki-Zdrój, gmina miejska 
