id, region_id, code,name,name_ext
1, 02, 01,  bolesławiecki, powiat 
2, 02, 02,  dzierżoniowski, powiat 
3, 02, 03,  głogowski, powiat 
4, 02, 04,  górowski, powiat 
5, 02, 05,  jaworski, powiat 
6, 02, 06,  jeleniogórski, powiat 
7, 02, 07,  kamiennogórski, powiat 
8, 02, 08,  kłodzki, powiat 
9, 02, 09,  legnicki, powiat 
10, 02, 10,  lubański, powiat 
11, 02, 11,  lubiński, powiat 
12, 02, 12,  lwówecki, powiat 
13, 02, 13,  milicki, powiat 
14, 02, 14,  oleśnicki, powiat 
15, 02, 15,  oławski, powiat 
16, 02, 16,  polkowicki, powiat 
17, 02, 17,  strzeliński, powiat 
18, 02, 18,  średzki, powiat 
19, 02, 19,  świdnicki, powiat 
20, 02, 20,  trzebnicki, powiat 
21, 02, 21,  wałbrzyski, powiat 
22, 02, 22,  wołowski, powiat 
23, 02, 23,  wrocławski, powiat 
24, 02, 24,  ząbkowicki, powiat 
25, 02, 25,  zgorzelecki, powiat 
26, 02, 26,  złotoryjski, powiat 
27, 02, 61,  Jelenia Góra, miasto na prawach powiatu 
28, 02, 62,  Legnica, miasto na prawach powiatu 
29, 02, 64,  Wrocław, miasto na prawach powiatu 
30, 04, 01,  aleksandrowski, powiat 
31, 04, 02,  brodnicki, powiat 
32, 04, 03,  bydgoski, powiat 
33, 04, 04,  chełmiński, powiat 
34, 04, 05,  golubsko-dobrzyński, powiat 
35, 04, 06,  grudziądzki, powiat 
36, 04, 07,  inowrocławski, powiat 
37, 04, 08,  lipnowski, powiat 
38, 04, 09,  mogileński, powiat 
39, 04, 10,  nakielski, powiat 
40, 04, 11,  radziejowski, powiat 
41, 04, 12,  rypiński, powiat 
42, 04, 13,  sępoleński, powiat 
43, 04, 14,  świecki, powiat 
44, 04, 15,  toruński, powiat 
45, 04, 16,  tucholski, powiat 
46, 04, 17,  wąbrzeski, powiat 
47, 04, 18,  włocławski, powiat 
48, 04, 19,  żniński, powiat 
49, 04, 61,  Bydgoszcz, miasto na prawach powiatu 
50, 04, 62,  Grudziądz, miasto na prawach powiatu 
51, 04, 63,  Toruń, miasto na prawach powiatu 
52, 04, 64,  Włocławek, miasto na prawach powiatu 
53, 06, 01,  bialski, powiat 
54, 06, 02,  biłgorajski, powiat 
55, 06, 03,  chełmski, powiat 
56, 06, 04,  hrubieszowski, powiat 
57, 06, 05,  janowski, powiat 
58, 06, 06,  krasnostawski, powiat 
59, 06, 07,  kraśnicki, powiat 
60, 06, 08,  lubartowski, powiat 
61, 06, 09,  lubelski, powiat 
62, 06, 10,  łęczyński, powiat 
63, 06, 11,  łukowski, powiat 
64, 06, 12,  opolski, powiat 
65, 06, 13,  parczewski, powiat 
66, 06, 14,  puławski, powiat 
67, 06, 15,  radzyński, powiat 
68, 06, 16,  rycki, powiat 
69, 06, 17,  świdnicki, powiat 
70, 06, 18,  tomaszowski, powiat 
71, 06, 19,  włodawski, powiat 
72, 06, 20,  zamojski, powiat 
73, 06, 61,  Biała Podlaska, miasto na prawach powiatu 
74, 06, 62,  Chełm, miasto na prawach powiatu 
75, 06, 63,  Lublin, miasto na prawach powiatu 
76, 06, 64,  Zamość, miasto na prawach powiatu 
77, 08, 01,  gorzowski, powiat 
78, 08, 02,  krośnieński, powiat 
79, 08, 03,  międzyrzecki, powiat 
80, 08, 04,  nowosolski, powiat 
81, 08, 05,  słubicki, powiat 
82, 08, 06,  strzelecko-drezdenecki, powiat 
83, 08, 07,  sulęciński, powiat 
84, 08, 08,  świebodziński, powiat 
85, 08, 09,  zielonogórski, powiat 
86, 08, 10,  żagański, powiat 
87, 08, 11,  żarski, powiat 
88, 08, 12,  wschowski, powiat 
89, 08, 61,  Gorzów Wielkopolski, miasto na prawach powiatu 
90, 08, 62,  Zielona Góra, miasto na prawach powiatu 
91, 10, 01,  bełchatowski, powiat 
92, 10, 02,  kutnowski, powiat 
93, 10, 03,  łaski, powiat 
94, 10, 04,  łęczycki, powiat 
95, 10, 05,  łowicki, powiat 
96, 10, 06,  łódzki wschodni, powiat 
97, 10, 07,  opoczyński, powiat 
98, 10, 08,  pabianicki, powiat 
99, 10, 09,  pajęczański, powiat 
100, 10, 10,  piotrkowski, powiat 
101, 10, 11,  poddębicki, powiat 
102, 10, 12,  radomszczański, powiat 
103, 10, 13,  rawski, powiat 
104, 10, 14,  sieradzki, powiat 
105, 10, 15,  skierniewicki, powiat 
106, 10, 16,  tomaszowski, powiat 
107, 10, 17,  wieluński, powiat 
108, 10, 18,  wieruszowski, powiat 
109, 10, 19,  zduńskowolski, powiat 
110, 10, 20,  zgierski, powiat 
111, 10, 21,  brzeziński, powiat 
112, 10, 61,  Łódź, miasto na prawach powiatu 
113, 10, 62,  Piotrków Trybunalski, miasto na prawach powiatu 
114, 10, 63,  Skierniewice, miasto na prawach powiatu 
115, 12, 01,  bocheński, powiat 
116, 12, 02,  brzeski, powiat 
117, 12, 03,  chrzanowski, powiat 
118, 12, 04,  dąbrowski, powiat 
119, 12, 05,  gorlicki, powiat 
120, 12, 06,  krakowski, powiat 
121, 12, 07,  limanowski, powiat 
122, 12, 08,  miechowski, powiat 
123, 12, 09,  myślenicki, powiat 
124, 12, 10,  nowosądecki, powiat 
125, 12, 11,  nowotarski, powiat 
126, 12, 12,  olkuski, powiat 
127, 12, 13,  oświęcimski, powiat 
128, 12, 14,  proszowicki, powiat 
129, 12, 15,  suski, powiat 
130, 12, 16,  tarnowski, powiat 
131, 12, 17,  tatrzański, powiat 
132, 12, 18,  wadowicki, powiat 
133, 12, 19,  wielicki, powiat 
134, 12, 61,  Kraków, miasto na prawach powiatu 
135, 12, 62,  Nowy Sącz, miasto na prawach powiatu 
136, 12, 63,  Tarnów, miasto na prawach powiatu 
137, 14, 01,  białobrzeski, powiat 
138, 14, 02,  ciechanowski, powiat 
139, 14, 03,  garwoliński, powiat 
140, 14, 04,  gostyniński, powiat 
141, 14, 05,  grodziski, powiat 
142, 14, 06,  grójecki, powiat 
143, 14, 07,  kozienicki, powiat 
144, 14, 08,  legionowski, powiat 
145, 14, 09,  lipski, powiat 
146, 14, 10,  łosicki, powiat 
147, 14, 11,  makowski, powiat 
148, 14, 12,  miński, powiat 
149, 14, 13,  mławski, powiat 
150, 14, 14,  nowodworski, powiat 
151, 14, 15,  ostrołęcki, powiat 
152, 14, 16,  ostrowski, powiat 
153, 14, 17,  otwocki, powiat 
154, 14, 18,  piaseczyński, powiat 
155, 14, 19,  płocki, powiat 
156, 14, 20,  płoński, powiat 
157, 14, 21,  pruszkowski, powiat 
158, 14, 22,  przasnyski, powiat 
159, 14, 23,  przysuski, powiat 
160, 14, 24,  pułtuski, powiat 
161, 14, 25,  radomski, powiat 
162, 14, 26,  siedlecki, powiat 
163, 14, 27,  sierpecki, powiat 
164, 14, 28,  sochaczewski, powiat 
165, 14, 29,  sokołowski, powiat 
166, 14, 30,  szydłowiecki, powiat 
167, 14, 32,  warszawski zachodni, powiat 
168, 14, 33,  węgrowski, powiat 
169, 14, 34,  wołomiński, powiat 
170, 14, 35,  wyszkowski, powiat 
171, 14, 36,  zwoleński, powiat 
172, 14, 37,  żuromiński, powiat 
173, 14, 38,  żyrardowski, powiat 
174, 14, 61,  Ostrołęka, miasto na prawach powiatu 
175, 14, 62,  Płock, miasto na prawach powiatu 
176, 14, 63,  Radom, miasto na prawach powiatu 
177, 14, 64,  Siedlce, miasto na prawach powiatu 
178, 14, 65,  Warszawa, miasto stołeczne/ na prawach powiatu 
179, 16, 01,  brzeski, powiat 
180, 16, 02,  głubczycki, powiat 
181, 16, 03,  kędzierzyńsko-kozielski, powiat 
182, 16, 04,  kluczborski, powiat 
183, 16, 05,  krapkowicki, powiat 
184, 16, 06,  namysłowski, powiat 
185, 16, 07,  nyski, powiat 
186, 16, 08,  oleski, powiat 
187, 16, 09,  opolski, powiat 
188, 16, 10,  prudnicki, powiat 
189, 16, 11,  strzelecki, powiat 
190, 16, 61,  Opole, miasto na prawach powiatu 
191, 18, 01,  bieszczadzki, powiat 
192, 18, 02,  brzozowski, powiat 
193, 18, 03,  dębicki, powiat 
